place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ____Rm1E54YRFw2wIStRftY,New Heights Baptist Church,31.745733,-106.3100677,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8_xyJF54YRj1fr-R4Rphc,The Porch El Paso,31.7985311,-106.3243973,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8rHQBb54YR5J-SwdnIvI0,I-10 And Airway,31.7792715,-106.3927188,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.3,51,NA
ChIJ__9viO9Z54YRdi-OWNG0YFo,Paseo Church,31.8043681,-106.4545288,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__9vjg_53YYRfqqFY100LE4,COMMUNITY CONNECTIONS CENTER,31.8505589,-106.5943644,Community Space,community center,point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ__w8SN1Q54YR0kSanCDr9BE,Evangelical Faith Center,31.854156,-106.418448,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_-NqDe1C54YRSFGfZQC0fGE,McDonald's,31.6812278,-106.3126356,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4,1293,NA
ChIJ_21oqMX53YYRKOrAcu3oO8I,Francisco Delgado Park,31.8646691,-106.5527342,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.7,35,NA
ChIJ_6R2rdv43YYRCzw1KI56IlA,Schneider Electric Square D,31.8904601,-106.5786747,Park,square,point_of_interest; establishment,OPERATIONAL,3.8,25,NA
ChIJ_6Z4swRE54YR3ulu7gH5e14,Revolution Of Love Ministries (ROLM),31.76351,-106.259175,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.3,4,NA
ChIJ_8r7WttC54YRxOIibVypLgo,Ysleta Park,31.6888413,-106.3294204,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,104,NA
ChIJ_a0Mw3Fo54YRNvLJph2lzTI,"""Aguilitas"" Park",31.624503,-106.3355001,Park,park,park; point_of_interest; establishment,OPERATIONAL,3,3,NA
ChIJ_arrYf1p54YR1RR0gxHq4oo,Rivera de Cortez Park,31.6266447,-106.3209948,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,10,NA
ChIJ_bh0xehX54YRNuW3eI9d23A,Blend,31.82390849999999,-106.5208165,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.4,71,NA
ChIJ_bvtuv9Z54YR7yyT6iqtDcY,Jorge Almada Park,31.8164045,-106.4426446,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.6,73,NA
ChIJ_cBLBm5E54YRkrc2VCOI650,Montwood Church of Christ,31.7613105,-106.2812211,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.9,31,NA
ChIJ_cUL7P5Z54YR0qay1qCO2bk,Mi Comunidad Center,31.8169796,-106.4517878,Community Space,community center,accounting; finance; food; point_of_interest; establishment,OPERATIONAL,4.3,22,NA
ChIJ_dgCbEVZ54YRsxqjbwxhBD8,Pancho Loco,31.7552396,-106.4869277,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,1,1,NA
ChIJ_fuCToD33YYRZ1S_QzIWuwI,Sunland Park Library,31.7969492,-106.5560685,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,5,14,NA
ChIJ_Q_BT9hX54YRir4OJD7W1uw,Stanley Publishing,31.836346,-106.5324348,Park,fountain,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_R8caTNo54YRkoZ4rLXDUpI,Cougar Park,31.6427798,-106.3011304,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,173,NA
ChIJ_Rc66IBE54YRnhyucBqrJr8,McDonald's,31.7511695,-106.3014244,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.8,1515,NA
ChIJ_TYuAvVF54YRYBlCFEaUOhQ,Fountain Of Youth Lounge,31.7817965,-106.2859562,Park,fountain,night_club; point_of_interest; establishment,OPERATIONAL,3.9,14,NA
ChIJ_UOiW1dY54YRQpbfZWkDvFQ,Green House Cancer Library,31.769977,-106.4989669,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_UvYqA1a54YRFzzcOeChM-Q,Hope Chapel,31.8114224,-106.4204008,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.2,13,NA
ChIJ_VRB4jVa54YRfaHlR0lwHVw,El Paso Central Appraisal District,31.7815033,-106.4180217,Community Space,city hall,finance; local_government_office; point_of_interest; establishment,OPERATIONAL,3.3,39,NA
ChIJ_wmMvSZX54YREZ3dS4l2wqU,Summit-Fillmore Park,31.8170132,-106.4603702,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.6,10,NA
ChIJ_x04nkJb54YRv3P83nFqJxo,Templo Jerusalem,31.7813026,-106.4403461,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_xI6uAtX54YRluBwIyOmnyM,NTCC Servicemen's Home,31.847618400000002,-106.4586471,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_xtuX9X53YYRX-TNzAhe9XA,Cafe Italia Cimarron,31.886548,-106.5694951,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.6,109,NA
ChIJ_YDITI1G54YRqfKlRFVQiJs,Desert Garden Park,31.7906744,-106.2288638,Park,park,park; point_of_interest; establishment,OPERATIONAL,4,46,NA
ChIJ_YDITI1G54YRqfKlRFVQiJs,Desert Garden Park,31.7906744,-106.2288638,Park,garden,park; point_of_interest; establishment,OPERATIONAL,4,46,NA
ChIJ_yniAa5E54YReG9Lu1yrq_Q,Walmart Garden Center,31.7532864,-106.3399406,Park,garden,furniture_store; home_goods_store; general_contractor; point_of_interest; store; establishment,OPERATIONAL,4,2,NA
ChIJ_Z9uJGJo54YRSYYCpZBzRTs,"Centro Comunitario ""Aguilas de Zaragoza""",31.6260612,-106.3359029,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.3,135,NA
ChIJ_Zkp1Hb43YYRiqfmoMPerxs,Sun Garden Chinese Bistro,31.8344472,-106.5403416,Park,garden,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.3,420,NA
ChIJ_zqjsvVZ54YRypnQ8yRsXDs,King of Glory Church,31.7980472,-106.4423868,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_zYD2qpZ54YRuld3IilrPjI,Arizona Avenue Community Garden,31.769387,-106.486927,Park,garden,park; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ--q7gYpT54YRhBsl-_EAmgE,Chapel of the North Hills,31.9306027,-106.4403315,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,4,NA
ChIJ--VTf19D54YRMqxRll1EwLU,Heart For World Hope Center,31.7435714,-106.3257717,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-0-IjOBd54YRlEfUP-FPiwk,Riverside Park,31.7358889,-106.3710807,Park,park,park; point_of_interest; establishment,OPERATIONAL,3,3,NA
ChIJ-0uXJEtD54YRIWnkIHEnhnA,Iglesia Camino a la Salvacion,31.6751688,-106.2816601,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,2,NA
ChIJ-10Yy3RZ54YR0g0Q0HHKQi0,Salazar Park,31.7656716,-106.4638634,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.8,21,NA
ChIJ-2c3ebhZ54YRUz03wVvDwCQ,Scenic Drive Park East Gate,31.7924008,-106.4706215,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.6,40,NA
ChIJ-2G416pZ54YRCRmgNs1DQyo,The Mustard Seed Café and Amigos Garden,31.8370075,-106.5736353,Park,garden,cafe; park; food; point_of_interest; establishment,OPERATIONAL,4.9,102,NA
ChIJ-2G416pZ54YRCRmgNs1DQyo,The Mustard Seed Café and Amigos Garden,31.8370075,-106.5736353,Social Business,cafe,cafe; park; food; point_of_interest; establishment,OPERATIONAL,4.9,102,NA
ChIJ-3KQdmH53YYRYoburWznuoc,Wendy's,31.8847283,-106.575696,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.8,481,NA
ChIJ-5AI9PtT54YRTrcLz8a09Ls,New Hope Lutheran Church,31.9129681,-106.4331796,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.4,38,NA
ChIJ-6AiaTRD54YRckHg2rK4ZnU,E.L. Williams Park,31.7347056,-106.3431231,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,36,NA
ChIJ-9HH74dc54YR7ZUSszgYfv4,Al & Charly Cafeteria,31.7246854,-106.3910298,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,5,1,NA
ChIJ-aoV5Rta54YRWwguKJ-rLXk,Bldg 315 - Center Chapel,31.8022867,-106.4338589,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,12,NA
ChIJ-cbMsuBa54YRn2ydXpjeP0k,Hawkins Indoor Pool,31.789082,-106.369711,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.1,106,NA
ChIJ-erbzi1E54YRzFp4AfK8iEU,Dunkin',31.7927458,-106.2603215,Social Business,cafe,bakery; meal_takeaway; cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.9,789,NA
ChIJ-fLH_GFY54YRp-hRcviy9Sk,Mimbre Park,31.76331849999999,-106.5164773,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.1,122,NA
ChIJ-Q_Q5hn_3YYRuAM_LOqXWyE,Eagle Vista Park,31.9165221,-106.5648763,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.7,3,NA
ChIJ-RFrHoVD54YRqYgE079HpCA,Ernie's Cafe,31.7390287,-106.2904175,Social Business,cafe,restaurant; cafe; bar; food; point_of_interest; establishment,OPERATIONAL,4.1,1594,NA
ChIJ-T7giAJZ54YRohCrpAhLgWA,Martha's Café,31.7576224,-106.486553,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,447,NA
ChIJ-wBbccRG54YRl2BQnoNCr0E,East Cave Park,31.7738623,-106.2209584,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,86,NA
ChIJ-xIcvwtp54YRPOW8OZELVmQ,Rivera Lerma Park,31.6255171,-106.3236022,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.2,327,NA
ChIJ-XQn7IRD54YRhZ_m_1tnmSg,Tropical Smoothie Cafe,31.7390395,-106.2913594,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,824,NA
ChIJ0_g0CCta54YR_-AEJmo4wDg,El Paso Parks And Recreation,31.7624826,-106.4819908,Community Space,community center,local_government_office; point_of_interest; establishment,OPERATIONAL,3.4,12,NA
ChIJ00jzbStR54YRscDjoBlPVXM,Wellington Chew Senior Center,31.8670947,-106.4384016,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,86,NA
ChIJ02G87StX54YR2Bg8W2bosQc,Nextdoor coffee roasters,31.8356452,-106.5312705,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ04WH5opE54YR5C6yaXvtJeQ,Montwood Square,31.7681309,-106.3014231,Park,square,shopping_mall; point_of_interest; establishment,OPERATIONAL,4.4,432,NA
ChIJ09MUH21D54YR7luUouOqfNA,Pecan Grove Park 2,31.7050815,-106.3057896,Park,park,park; point_of_interest; establishment,OPERATIONAL,5,5,NA
ChIJ0b79fSJb54YRWv4NVVpshbk,Vista Del Valle Community Garden,31.7741889,-106.369552,Park,garden,park; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ0bq0u8v_3YYRV4zume04iSE,Iglesia Vida Nueva,31.9576142,-106.5777125,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,5,NA
ChIJ0cRkZu1X54YREk4o9cxKBik,Potters House/Casa del Alfarero,31.8335295,-106.5344812,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ0cWhqcJY54YRFOQ0xa5s-tE,Templo Luz y Verdad,31.7428177,-106.5000956,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ0ekKRB1Z54YR3mXV0GdbzoU,Monkey Green Cafe,31.7549011,-106.4866889,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.6,31,NA
ChIJ0eTywslD54YRuUhX-MLabik,Lancaster Park,31.6947928,-106.3116071,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.4,25,NA
ChIJ0SDNq-db54YRMRGUOiK0gyU,Jehovah-Rapha,31.7892564,-106.4295679,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ0SWArEVX54YRFT6brq6AEfk,Park Hills Christian Church,31.8297201,-106.4552648,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,13,NA
ChIJ0wkLXOpp54YRYd6i0GdVkHE,techserin,31.6276206,-106.3143808,Social Business,cafe,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ0xb-p3Nb54YRGiaCwkatnfU,Stiles Garden,31.75614819999999,-106.3853819,Park,garden,neighborhood; political,NA,NA,NA,NA
ChIJ0XD0o_1Y54YRcxSLvqvRWbs,Big Media Kringle Kafé,31.7583848,-106.4895215,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ0Y0nHTlb54YRSs0LxmopMuc,Best Buy,31.772372,-106.374206,Park,square,electronics_store; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,4.4,4602,NA
ChIJ0ysCDSBE54YR3PCUB7zjAs8,Garden Nails (Salon),31.776848,-106.2526859,Park,garden,beauty_salon; point_of_interest; establishment,OPERATIONAL,4,111,NA
ChIJ129RlI353YYRj1cShq7tSuM,San Isidro Mission Cafe sysco,31.8476396,-106.6110329,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ12KA7lpY54YRvOw3ZC-V-tE,The University of Texas at El Paso,31.7731979,-106.5047208,Community Space,library,university; point_of_interest; establishment,OPERATIONAL,3.9,195,NA
ChIJ12KA7lpY54YRvOw3ZC-V-tE,The University of Texas at El Paso,31.7731979,-106.5047208,Social Business,bookstore,university; point_of_interest; establishment,OPERATIONAL,3.9,195,NA
ChIJ158X-2Jb54YRJ-wC25UWJpE,"MSBII Library, Medical Sciences Building II Library",31.7711118,-106.4320591,Community Space,library,university; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ16bxcNtQ54YRVwNLO8C1T4c,Herculas Food,31.8550942,-106.4238233,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,1,1,NA
ChIJ17XtIF9Z54YRdZc-A0iSJNs,Biblioteca ICB,31.7460791,-106.4433105,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.8,9,NA
ChIJ18SDwgL53YYR8SER2d4npTc,Cafe Del Sol & Tortilleria Del Sol,31.8522575,-106.5832749,Social Business,cafe,restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4,265,NA
ChIJ1awyN0td54YRLpqJqK4wVwk,"""Cd Rio Bravo"" Park",31.6707583,-106.346979,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,4,NA
ChIJ1bEX_rZZ54YRFtv1I1jjX1c,Viejo Coffee,31.75608339999999,-106.493747,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.8,36,NA
ChIJ1cMNXMNa54YRq3KCqUUMX9k,RCCG Living Word Center,31.795295,-106.364481,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,12,NA
ChIJ1dYVpHxB54YRN_cM2WCtwlE,Starduster Park,31.7199823,-106.2467685,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,33,NA
ChIJ1RwsDJdZ54YR6IjWn9g2zNo,El Paso Inspection Division,31.7624759,-106.4818572,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,3.9,11,NA
ChIJ1RwsDJdZ54YRascZkc1b6Vk,El Paso Traffic Engineering,31.7619732,-106.4853568,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ1RwsDJdZ54YRC8vfaqHKhac,El Paso Purchasing Department,31.7619744,-106.484854,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ1RwsDJdZ54YRgkZ5olfcijE,Georgie's Too,31.7833747,-106.4607084,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ1RwsDJdZ54YRHQjoIQkM5_4,El Paso Human Resources Department,31.7621171,-106.4853084,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,4.3,3,NA
ChIJ1RYTcSb_3YYRrKYtp23xKdo,Westside Community Church,31.8370088,-106.5734028,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,38,NA
ChIJ1RZnsQNb54YReOTDUjsWw9Y,McDonald's,31.7769377,-106.3848879,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.6,207,NA
ChIJ1SQhEwX43YYRboF7jOypQD0,Wonderscoops,31.814075,-106.543409,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.3,63,NA
ChIJ1SQhEwX43YYRPjVW3AnL5so,Time Square,31.8151065,-106.5432847,Park,square,point_of_interest; store; establishment,OPERATIONAL,3,3,NA
ChIJ1TBwp2P_3YYRWKYKers52JM,Charlie Clark Nissan Café,31.9129058,-106.5858695,Social Business,cafe,bakery; meal_takeaway; cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,5,5,NA
ChIJ1UXWbT1b54YR3dxgCCky-l4,HomeGoods,31.769814,-106.368712,Park,fountain,department_store; furniture_store; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,4.5,72,NA
ChIJ1Vx2Niz53YYRslmecZxNSA4,CANTERMEX,31.881784,-106.590442,Park,fountain,point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ1VxPg7BT54YRtqErfb1EtAE,Path of Praise Christian Church,32.002163,-106.356245,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ1VYZWDRa54YR-pZs6KZyFRY,Transfiguration Mural,31.7785658,-106.4207367,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,1,1,NA
ChIJ1wD929pC54YRmU_1133m_gg,San Pablo Lutheran Church,31.6886024,-106.3320449,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,32,NA
ChIJ1wD929pC54YRwGL19CAOoAA,Lutheran Hispanic Missionary,31.688627,-106.332041,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ1WW1UolF54YReNrrlgneuTM,la Madeleine,31.7942071,-106.2671545,Social Business,cafe,restaurant; bakery; cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.5,624,NA
ChIJ1XuGJvJb54YRzLFAr8URqtM,Rocker's Cafe,31.7351377,-106.4034028,Social Business,cafe,food; point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ1Y6ytxdp54YRz4JWUYnMXF8,Templo Columna y Apoyo de la Verdad,31.619837,-106.3139401,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4,2,NA
ChIJ1ycg_uz43YYRvmW01DCqjiM,Jack in the Box,31.8599222,-106.5610139,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.2,616,NA
ChIJ1YN08d1a54YRT85r31v4ibU,Hawkins Park,31.7890603,-106.368965,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.6,56,NA
ChIJ1YtXFKX53YYRCrdjQz3rqew,Walmart Patio & Garden Services,31.861894,-106.586847,Park,garden,general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ1Z6c8t1F54YRLP6eH8K0y0U,MJ's Gaming Cafe,31.7961697,-106.3421851,Social Business,cafe,point_of_interest; establishment,OPERATIONAL,3.8,13,NA
ChIJ1z8G8QRb54YR3oItItaOfdg,Duke Circle Park,31.7854942,-106.4235805,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,6,NA
ChIJ2_IESu5Z54YR_LhbhF0AiTc,El Paso Holiness Church,31.8014965,-106.4538754,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ2-KeHeJG54YR8PBKzjtKJvc,Tierra Del Sol Park,31.7873076,-106.2060822,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.1,23,NA
ChIJ20aYgPn53YYR0lv4NpEg584,Starbucks,31.837077,-106.551479,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,3,2,NA
ChIJ21HfBX5D54YRsKX2wuiCl8o,City Church House of Prayer,31.7455631,-106.3046133,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ21RqAcBG54YRlVmb9jBgZek,Stone Rock Park,31.7784478,-106.2283123,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.7,53,NA
ChIJ2298kmhR54YRj2AFC4SDpt4,El Paso Young NAK Presbyterian Church,31.8985268,-106.4133986,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ23NkFtJF54YRmG5LB93kmrY,Volcano Fire Park,31.8010423,-106.2626704,Park,park,park; point_of_interest; establishment,OPERATIONAL,4,26,NA
ChIJ25fYp-5b54YRRrA4zzCJX6A,Lakeside Baptist Church,31.7474352,-106.3970344,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ26dkm6xF54YRpIOOn6kWuCk,Calvary Chapel Redeeming Grace,31.79446889999999,-106.2929826,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.9,7,NA
ChIJ28baX41Z54YRBxgwo_3FsIk,Memorial Park Senior Citizen Center,31.7924174,-106.4514669,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.5,33,NA
ChIJ28enI85C54YRoM0lPlW4pmI,Capistrano Park,31.6868893,-106.3389907,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,265,NA
ChIJ29eb3whZ54YRNL3cg8di5tY,Jesus Lives Here Mural,31.76446749999999,-106.473116,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ2c6mNTRa54YRLEES8aCkk7c,Encuentro Con Dios,31.7800688,-106.4201751,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,6,NA
ChIJ2cWNuJ5F54YRx2cWOiNmnWA,Indoor Plant Solutions,31.7638946,-106.2923485,Park,garden,point_of_interest; establishment,CLOSED_TEMPORARILY,5,1,TRUE
ChIJ2e1wjhdb54YROe5A36PYK4Q,Fountain Nail Bar El Paso,31.7710092,-106.3747566,Park,fountain,beauty_salon; hair_care; point_of_interest; establishment,OPERATIONAL,3.5,497,NA
ChIJ2f0veGf43YYRNoYDQiR_ZK4,El Paso Public Library Westside Branch,31.8378776,-106.5578421,Community Space,library,art_gallery; library; point_of_interest; establishment,CLOSED_TEMPORARILY,4.5,29,TRUE
ChIJ2f8XZ8RR54YRTzJ1DIvd0g4,Friends of the Northeast Bookstore,31.8866764,-106.4156435,Community Space,library,book_store; point_of_interest; store; establishment,OPERATIONAL,5,1,NA
ChIJ2f8XZ8RR54YRTzJ1DIvd0g4,Friends of the Northeast Bookstore,31.8866764,-106.4156435,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,5,1,NA
ChIJ2f9m7apT54YRan2_mmyelSM,Centro Cristiano Esmirna,31.931567,-106.385599,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4,2,NA
ChIJ2QFHKQv_3YYRHlzK8fflTnE,Vivir Excelente Nutrition Club,31.903699,-106.600215,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ2SkFEUxa54YRsxID3qbJ7Zs,Habit@T Boba Tea Express,31.7834878,-106.4131579,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.2,111,NA
ChIJ2TmMWwVE54YRTSAaRk1NUI4,Garden Center at The Home Depot,31.7620916,-106.2636522,Park,garden,furniture_store; home_goods_store; general_contractor; point_of_interest; store; establishment,OPERATIONAL,4,6,NA
ChIJ2TztjiJb54YRCDgY8WTCm9A,Multipurpose Recreation Center,31.7745207,-106.3699034,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.4,122,NA
ChIJ2U8KnsZQ54YRTThhtxqqMUg,George Moore Field,31.8477709,-106.4252906,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.1,29,NA
ChIJ2Vd7CjFp54YR9VFR5HzK3ok,Iglesia cristiana Isaías 9:6,31.6251239,-106.3099375,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ2VDJQ-ZD54YREkjzkxm_IPg,Paseo Del Sol Park,31.7340199,-106.2621005,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.4,85,NA
ChIJ2xMyqRRD54YRmMvm0ZU5IUk,Johnson Controls INC,31.7223481,-106.3172972,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ2Xtuxz9R54YRI7bKggXP8tQ,Arby's,31.8849803,-106.4185724,Social Business,cafe,meal_takeaway; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.2,745,NA
ChIJ2z5TR-RG54YRTODq-in4sXs,Sunny Brook Park,31.787752,-106.2128645,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,69,NA
ChIJ2ZoJ909X54YRZEiE6P9p_Ds,Logan Park,31.8277613,-106.4521729,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,223,NA
ChIJ3_8aFlNR54YRarWc5djvw2w,Lowe's Home Improvement,31.9003725,-106.4386828,Park,fountain,hardware_store; furniture_store; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,4.2,2973,NA
ChIJ3_CAmypR54YRuEaWpk8pWxk,True Vine Outreach Worship Center,31.8624066,-106.4385776,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ3-h1Sxlb54YRKpDcL1yUEAE,Immanuel Church,31.7766983,-106.3745065,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,32,NA
ChIJ3-WZCSVR54YRDHB8z1asthA,Taco Bell,31.8736399,-106.4262543,Social Business,cafe,meal_takeaway; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.1,855,NA
ChIJ31fPOSZT54YR-ikN1lvSKcQ,Summerlin Park,31.9234857,-106.3774383,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.6,8,NA
