place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____85-bIcRiZxDRtexyp4,Fresh Anointing Christian Church,39.7659429,-104.9643947,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,5,NA
ChIJ_____8J4bIcRBFJRdYB14zc,Tri-Square Construction,39.7541032,-105.0002242,Park,square,general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_____8J4bIcRy4VwQCvqwf8,New Age 2000,39.7541032,-105.0002242,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ____I6iHbIcRNf6U4yr2LAQ,The Mulberry Books,39.6381102,-104.8918018,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ____Yyh9bIcRfaRk9oohOLY,"NAYALIFE CHURCH",39.71281099999999,-104.8560423,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ___PlZ6Aa4cRxheP_4O05cI,Westwood Unidos,39.7074423,-105.0366096,Community Space,community center,point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ___vFfd4bIcRkBeGs3seozQ,Waldschänke Ciders + Coffee,39.7731869,-104.999083,Social Business,cafe,cafe; bar; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,5,259,NA
ChIJ__-_9jh-bIcRrDvAfU9DbwE,Living Hope Fellowship,39.6543333,-104.9984896,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ__-DMZ6AbIcRKodrWi5bttg,The Grounded Gardener,39.6595445,-104.9656041,Park,garden,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-mji55bIcR_kwT6oIzKbY,"Fountainhead Psychology Group, LLC",39.7454596,-104.9772765,Park,fountain,health; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-vtmyHa4cRgNwFxxk_zMY,Spring Ridge Park,39.75521,-105.05517,Park,park,park; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ__5wzMR4bIcRFggiUuJiEfw,Highland's Village Garden,39.7503332,-104.9975417,Park,garden,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__9Agt54bIcR39iZ9aORVDY,Shop at MATTER,39.7549829,-104.9915103,Social Business,bookstore,book_store; art_gallery; point_of_interest; store; establishment,OPERATIONAL,5,49,NA
ChIJ__9P9lJ7bIcR0baQBW24RlU,Real Life Church,39.7647662,-104.8482438,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__9v5Uh-bIcRG7IGtqIwVoA,Discover Faith,39.6730722,-104.9398892,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ__N9tJqAa4cRvFcVwBMi_e0,Grace and Life Church,39.7006378,-105.0429306,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.2,6,NA
ChIJ_1z4ZO9nbIcRCPRHhFS2Ea0,Interfaith Chapel,39.8487743,-104.6734925,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,5,6,NA
ChIJ_20Gm61_bIcRPWnGIP-bJtU,Bible Missionary Chapel,39.6883203,-104.9889809,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_2gecNd_bIcRdimZrMeBJck,Cushing Park,39.6593962,-104.9965725,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4,466,NA
ChIJ_2vtmGd5bIcRfTfE0TtxRd0,Jubilee Roasting Co.,39.7544196,-104.9867587,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.9,118,NA
ChIJ_5Jzn4J5bIcRWEF-WsrVg1o,Little Free Library on Gilpin,39.7641055,-104.966952,Community Space,library,school; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_6oWZ7N_bIcRzkJULo1XXM0,Euro Crepes & Bistro,39.6831203,-104.987193,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.6,673,NA
ChIJ_6vnzwKAbIcRnWNv6G4J7ws,Sheridan Recreation Center,39.6441469,-105.0312701,Community Space,community center,gym; health; point_of_interest; establishment,OPERATIONAL,4.3,131,NA
ChIJ_6WIDq95bIcRB4cl044dS8c,Lolanese Co.,39.7430213,-104.9857089,Park,garden,point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ_9DPXAqHbIcRVOzXyjK-TNE,Chabad Jewish Center,39.6229749,-104.9160077,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_9kvsR9-bIcRhXM-Id88G4c,Unity Spiritual Center Denver,39.6628315,-104.9597748,Place of Worship,place of worship,book_store; church; place_of_worship; point_of_interest; store; establishment,OPERATIONAL,4.8,60,NA
ChIJ_amYvP5_a4cRad554ddZmF4,Denver Salem Church of God,39.637024,-105.0341822,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,5,NA
ChIJ_aSwod94bIcR_d0gAOTidgc,Dog Park,39.7560136,-104.9871959,Park,park,park; point_of_interest; establishment,OPERATIONAL,2.6,7,NA
ChIJ_b0f2IN-bIcRJSddI17dAyU,Dazbog Coffee,39.7087028,-104.9420444,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.4,192,NA
ChIJ_dkWiXWHbIcRdzY_cW5qEfI,Disciple Mission Church of Denver,39.652102,-104.892496,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,18,NA
ChIJ_ePm-E98bIcRimzmhO09xew,Denver Public Library: Schlessman Family Branch Library,39.718668,-104.904094,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.3,65,NA
ChIJ_ezlPrGHbIcRS1Bq6fAE4rA,Geneva Creek Church,39.6672683,-104.8535111,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_fXw2N15bIcRVvyQPJ4NQRs,Brothers Café,39.7539692,-104.9916991,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,CLOSED_TEMPORARILY,4.9,41,TRUE
ChIJ_Q34uGl6bIcRjgxcL3SKlIk,Olive Park,39.8104579,-104.90768,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.1,25,NA
ChIJ_Qsxyyl5bIcRjPBADZHPlAs,Shoshone Community Garden,39.763004,-105.0093261,Park,garden,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_TmK6Kl4bIcRHV70m0Ae1rE,Colorado Family Church (Unification Church),39.7382962,-105.0312688,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,22,NA
ChIJ_UX41ICAbIcRkpwagnIdW4A,Englewood First Presbyterian Church,39.6530397,-104.9824638,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,17,NA
ChIJ_VvcwPh7bIcRF8zVWh82w4s,Montview Boulevard Presbyterian Church,39.7468284,-104.931604,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,38,NA
ChIJ_w6clyB7bIcRXvqsBqkHW1M,Baroness Coffee,39.7939012,-104.8647413,Social Business,cafe,food; point_of_interest; store; establishment,OPERATIONAL,2.3,4,NA
ChIJ_WLjHNN-bIcR8OLahVEj9p4,Morey Middle School Community Garden,39.7377335,-104.977059,Park,garden,park; point_of_interest; establishment,OPERATIONAL,3,2,NA
ChIJ_x_5WleHbIcRbPmeFXAholo,Healthy Garden Delivery,39.625798,-104.8951319,Park,garden,park; food; point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ_y2y5Sp-bIcR8IbmJSy3VRg,Rockies Southwest Bible Church Extension,39.6590222,-104.9837357,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_y4X4U97bIcRXRrKJf4IS9Y,Sam's Club Cafe,39.7661974,-104.8975199,Social Business,cafe,cafe; meal_takeaway; restaurant; food; point_of_interest; establishment,OPERATIONAL,1,1,NA
ChIJ_YoKrTmHa4cRoo84t9ajOr0,Doll House Motel & Cafe,39.740613,-105.0588386,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.5,4,NA
ChIJ_YtYmyyGa4cRn1VMlr14Ijk,La Dolce Vita,39.801014,-105.081272,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.7,409,NA
ChIJ_ziYMB5_bIcRhRnKNolHQXQ,Denver Public Library: Ross-Broadway Branch Library,39.7149952,-104.9866333,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.6,42,NA
ChIJ_ZKis4SHa4cRJHzTDOKjGlE,Tenn Street Coffee & Books,39.7768333,-105.0438333,Social Business,bookstore,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.6,198,NA
ChIJ_ZKis4SHa4cRJHzTDOKjGlE,Tenn Street Coffee & Books,39.7768333,-105.0438333,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.6,198,NA
ChIJ_ZWzCtl4bIcRgw32GAwZu88,Abraham Lincoln Park,39.7504666,-104.9899837,Park,park,park; point_of_interest; establishment,CLOSED_TEMPORARILY,3.7,3,TRUE
ChIJ-_s2Znh-bIcRn9b4MZaVaW4,Square One Center,39.6958084,-104.9398269,Park,square,point_of_interest; establishment,OPERATIONAL,4.2,58,NA
ChIJ--bu4diBa4cRgwOkH31tLew,Foothills Park & Recreation,39.6458164,-105.0948859,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,20,NA
ChIJ--VlVg97bIcRlcG6MPSfVD0,Starbucks,39.773216,-104.882292,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.2,257,NA
ChIJ-044QPCBbIcR2maBTyrjw7Q,Veteran's Park,39.6419888,-105.0278937,Park,park,park; point_of_interest; establishment,OPERATIONAL,3,1,NA
ChIJ-0BrO8iHa4cRJoClYGAGFaI,Garden Shop,39.7885146,-105.0693449,Park,garden,point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ-0r_bf2Ga4cRzowlywFSbsg,Hayward Park,39.757894,-105.080046,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,16,NA
ChIJ-0tCywqAbIcRmUIZ3uskBdU,Starbucks,39.650207,-105.006101,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,2.7,23,NA
ChIJ-1nMhep7bIcR6NzdE0lIWLQ,Central Park,39.7624258,-104.8887153,Park,park,park; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ-2iMWeKGbIcRN9YwJdw_WAY,Belleview station dog park,39.6257851,-104.9071021,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.2,216,NA
ChIJ-2MAaQWHa4cRejc8J4gtLFU,Healing Waters Ministries,39.7590784,-105.068071,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,30,NA
ChIJ-2VNYQJ_bIcRWPbbwJ4fFXo,Lincoln Park Softball Field,39.7356932,-105.004776,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.6,16,NA
ChIJ-2ymJNx5bIcRVPfWOd3gYHs,Redbud Garden Center,39.7555069,-104.9737051,Park,garden,point_of_interest; store; establishment,OPERATIONAL,5,13,NA
ChIJ-40lvz1kbIcRQE6qGZtVOkc,Park Baseball Field,39.7885009,-104.7681255,Park,park,point_of_interest; establishment,OPERATIONAL,4.3,65,NA
ChIJ-47H6s95bIcRx2fsuEvmv6A,J. Langston Boyd Park,39.7598736,-104.9411213,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.6,7,NA
ChIJ-4xjvSV6bIcRiWfwBNOxOkk,Dahlia Trailhead,39.797194,-104.931151,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.1,78,NA
ChIJ-6VGs159bIcRk-OeUH1I6Bw,Mountain View United Church,39.6780879,-104.8632539,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,11,NA
ChIJ-8D-uxx8bIcRiFP_hbBmLJQ,Belleview Park,39.7342113,-104.9340486,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,97,NA
ChIJ-8Z3IT95bIcRnCjIrpS_Rp4,Denver Public Library: Ford-Warren Branch Library,39.7573035,-104.9650955,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.6,40,NA
ChIJ-9WFSlV5bIcRPLWKGv3_Md8,Messiah Lutheran Church,39.7447382,-104.9403619,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,3.9,13,NA
ChIJ-bjxoBV-bIcRbIu6unhWUw0,Westminster Law Library,39.6792126,-104.9613243,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.8,4,NA
ChIJ-bx6YHCAa4cRwXcAW5tDOnI,Harvey Park Lake,39.6793984,-105.0412703,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,132,NA
ChIJ-cdDGs1_bIcRTwYzLVMdW2s,Gennaro's Cafe Italiano,39.6695861,-104.9874222,Social Business,cafe,bar; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.2,724,NA
ChIJ-czEk5h7bIcRdS6_YIfB258,Quecbec Square Family Dentistry,39.7688019,-104.8999523,Park,square,dentist; health; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-dF63LiBbIcRpvCFjG-T5fs,Sheridan Square Park,39.6482787,-105.0311601,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,6,NA
ChIJ-dF63LiBbIcRpvCFjG-T5fs,Sheridan Square Park,39.6482787,-105.0311601,Park,square,park; point_of_interest; establishment,OPERATIONAL,4.5,6,NA
ChIJ-dj2HJNnbIcRSMnSNSUEZ64,Painted Prairie,39.8058048,-104.7344506,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.6,25,NA
ChIJ-fUWmH-AbIcRZMlmpygUApc,Starbucks,39.664254,-104.987177,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.1,371,NA
ChIJ-fw7cJB8bIcRIvAYmZWBopA,Agape Missionary Church,39.7417861,-104.8784462,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,5,NA
ChIJ-Q-MI_Z9bIcROqvjNg3N01U,Colfax & Ivy,39.7399176,-104.9208624,Social Business,cafe,meal_takeaway; cafe; restaurant; food; point_of_interest; clothing_store; store; establishment,OPERATIONAL,4.9,50,NA
ChIJ-QSb7MZlbIcRnh-gx3zh0Qw,GRACE CHRISTIAN CENTER,39.7926653,-104.8437576,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ-QxAzeZ_bIcRhW4PbpsoWLQ,Gallagher Books & Antiques,39.69010249999999,-104.9872266,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,4.8,40,NA
ChIJ-RUkRHKHa4cRxO-dm6Hsnwo,Sidewok cafe,39.7401135,-105.0508324,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.2,92,NA
ChIJ-U9qaa1_bIcR-a1d3rL-qq8,Birdsall & Co. The Garden Boutique,39.6645286,-104.9873995,Park,fountain,home_goods_store; furniture_store; general_contractor; point_of_interest; clothing_store; store; establishment,OPERATIONAL,4.7,111,NA
ChIJ-U9qaa1_bIcR-a1d3rL-qq8,Birdsall & Co. The Garden Boutique,39.6645286,-104.9873995,Park,garden,home_goods_store; furniture_store; general_contractor; point_of_interest; clothing_store; store; establishment,OPERATIONAL,4.7,111,NA
ChIJ-UNWOAh-bIcRPOF_BrLIj7w,morroco cafe,39.6754831,-104.9401929,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,2,1,NA
ChIJ-VRDLcl4bIcRwp-XpFIFiEA,Auraria Library,39.743355,-105.002931,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,3.8,83,NA
ChIJ-w-vVsN7bIcRkzHISw4TOWo,Ministerios Pentecostales,39.7710269,-104.926637,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4,3,NA
ChIJ-wnIj-VnbIcRLeZS2RhyDj8,Rocky Mountain Café,39.8499948,-104.6742389,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,2,39,NA
ChIJ-wPikD55bIcRLuQa-Cx-Lo0,Fuller Park,39.7575307,-104.9669961,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,235,NA
ChIJ-xqRaGiAa4cRloQdrZp84vU,Rosemary Cafe & Family Dining,39.67804830000001,-105.0535754,Social Business,cafe,cafe; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.4,1040,NA
ChIJ-Yyj5yZ5bIcROYmVgcnJTJU,THE ABSOLUTE WORD CHURCH,39.6943894,-104.9504759,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.4,7,NA
ChIJ-zAiOuV7bIcRSsB17msOWx8,Pack 34 Pollinator Garden,39.7543349,-104.8912152,Park,garden,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ00Bv0YR7bIcRs0sCVfCUeAA,Denver Public Library: Sam Gary Branch Library,39.7589713,-104.9008879,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.5,74,NA
ChIJ00cUKWF7bIcRwkYDmnI4U58,Square Park,39.75791299999999,-104.871991,Park,park,park; point_of_interest; establishment,OPERATIONAL,4,8,NA
ChIJ00cUKWF7bIcRwkYDmnI4U58,Square Park,39.75791299999999,-104.871991,Park,square,park; point_of_interest; establishment,OPERATIONAL,4,8,NA
ChIJ0117PriAa4cRHISjBHU6z-s,Lakewood New Life Center,39.7181855,-105.0542376,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ02AL7xd5bIcRECzxR0bgfJM,Secular Hub,39.7207666,-105.0322037,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.8,85,NA
ChIJ03NmH4R_bIcR9GEsh5TTWNE,Second Star to the Right Children's Books,39.6885179,-104.9806201,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,4.9,151,NA
ChIJ06Y5sHl_a4cR1Ygfm_fiqLo,Lawn & Garden,39.6366117,-105.08265,Park,garden,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ07A0GAWHa4cRaMynC6RJVqw,Stites Park,39.75891499999999,-105.069796,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.6,45,NA
ChIJ07lC8899bIcRMtsdcTKGfdU,"The Church of Pentecost, USA",39.6987966,-104.8462834,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ08fkEDh-bIcR10z3fcPs1qk,Einstein Bros. Bagels,39.6787374,-104.9729881,Social Business,cafe,bakery; cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4,223,NA
ChIJ08NxpbKAbIcRT0b4JDoNJJo,First Universalist Church of Denver,39.6535276,-104.9394785,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,38,NA
ChIJ08w76J-Ha4cRsiE4eYLSAxM,Starbucks,39.770165,-105.054099,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,3.6,22,NA
ChIJ09AiuheHa4cRWPM9fFXri84,Fellowship Bible Church,39.74969979999999,-105.0653318,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.6,7,NA
ChIJ0aO2zHyHa4cRLzeyVNkGbAo,Café Zuri,39.7620221,-105.0363283,Social Business,cafe,bakery; cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.6,221,NA
ChIJ0bLolSZ5bIcR0maVsrKPaJM,Kingdom of Glory Christian Center,39.752885,-104.980971,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,1.8,5,NA
ChIJ0by8P4F7bIcR82cdvwU1zjA,Sharpetz Park,39.7538335,-104.896693,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.3,3,NA
ChIJ0cA-vAd-bIcRniemRoMb6kY,Panera Bread,39.671602,-104.940147,Social Business,cafe,cafe; bakery; meal_takeaway; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.7,431,NA
ChIJ0cHi1lGBa4cRUlUOwRIcCvo,Harvey Park Tennis Courts,39.6771896,-105.0411512,Park,park,park; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ0cSBTjZ9bIcRYvsbBjHwaKM,LifeHouse GH SDA Church,39.6999197,-104.9132891,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ0dYR0j59bIcRspVjiD6WuKs,Aroma Cafe,39.6970129,-104.8632709,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.4,13,NA
ChIJ0enosv57bIcRLMZ9akOw6ao,House for All Sinners and Saints,39.7169294,-104.986599,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4,30,NA
ChIJ0fQUTq-HbIcRakpNUwhW70g,Christian Restoration Church,39.6637178,-104.8594172,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ0fSfrbd9bIcRty51Xjgov2I,Rock Church of Denver,39.76941619999999,-104.9309003,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.3,4,NA
ChIJ0fywdSh7bIcRJf6FBjTERcA,Little free library,39.804664,-104.8700894,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ0TI6D9V4bIcR2ann-9bRuEM,Pioneer Monument Fountain,39.7402699,-104.987691,Park,fountain,point_of_interest; establishment,OPERATIONAL,3.9,10,NA
ChIJ0Vb52dB4bIcR8sHC6idRf-A,Share Mission International,39.7454829,-104.9922922,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ0VP4s1B8bIcRBcIFwjZX9M0,Café Mercato,39.7194252,-104.8966021,Social Business,cafe,cafe; bar; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.4,366,NA
ChIJ0VvCRpqAa4cRcZQg5Bdj95Q,Denver City Council,39.7044459,-105.0419973,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ0WmHYoeAbIcRxxd33P5QygE,Cornerstone Books,39.650892,-104.9857071,Social Business,bookstore,book_store; health; point_of_interest; store; establishment,OPERATIONAL,4.6,70,NA
ChIJ0xosLkZ_a4cRZSTNBcQm9Xc,Hosanna Lutheran Church,39.6238367,-105.1139427,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.2,12,NA
ChIJ0y5TbBt-bIcRQV9PzY6END0,Robert H. McWilliams Park,39.6679076,-104.95221,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.4,137,NA
ChIJ0YAsEDyHa4cRJuIZbpdB9ZU,Edgewater Skate Park,39.7441895,-105.0613117,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,147,NA
ChIJ0zkuISl5bIcRQLZXJRkFPuY,Fluid Coffee Bar,39.7463889,-104.9808333,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.5,603,NA
ChIJ0zPEhmmAa4cRbYTFVwbZzA4,Christ Congregational Church,39.6739165,-105.0527253,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,3.5,2,NA
ChIJ0zPM-1R6bIcRdcc7zhhpeXI,Prairie Basin Park,39.7926622,-104.8956145,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,3.3,3,NA
ChIJ1-AgQyp9bIcR2AcQ0FWN0Qo,Lowry Reading Garden,39.724245,-104.8964967,Park,garden,park; point_of_interest; establishment,OPERATIONAL,4.4,7,NA
ChIJ10abQ_J-bIcRdL1im1MF7P8,Washington Park United Church of Christ,39.7091977,-104.9662066,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,10,NA
ChIJ10vTN3-IbIcRrd9t14h-Puw,Smoky Hill Shelter,39.6444295,-104.8468788,Park,park,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,4.3,73,NA
ChIJ11t_ERSHa4cRu14Pq1LXH14,Trinity Church Denver,39.7374812,-104.9845181,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,5,NA
ChIJ12jIiruHa4cR1HHZhLOHrek,Mama's Kitchen -Dahlia Deli,39.7823904,-105.0614038,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.7,18,NA
ChIJ12WQ8lF_bIcR1lh-eC5Cv2Q,Bonnie Brae Park,39.7001984,-104.9546628,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.7,11,NA
ChIJ13nZBhh-bIcRwn2YbLU-vmw,DeBoer Park,39.6706763,-104.9611545,Park,park,tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.5,99,NA
ChIJ13O1SNV4bIcRF0sB03CGbCo,Liberty Park,39.7387962,-104.9867225,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,3.1,11,NA
ChIJ14cW_Ld-bIcRzQIF1lR1oQY,Denver Botanic Gardens: Morrison Discovery Center,39.7332236,-104.9594157,Park,garden,park; point_of_interest; establishment,OPERATIONAL,4.8,25,NA
ChIJ15QKNH9-bIcRHPFeRV7ETVo,Barnes & Noble,39.6988889,-104.9391667,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,4.5,1828,NA
ChIJ18t6OP1nbIcRounGid-TGpM,Hudson Booksellers,39.8588644,-104.6695548,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,4,1,NA
ChIJ192PgxZ8bIcRMdThfEmAtyo,World Mission Society Church of God,39.7300262,-104.9218368,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,135,NA
ChIJ1cdhe7aBa4cR1vAVQZHwcXI,Southwest Improvement Council (SWIC),39.6982493,-105.0340779,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ1cTQCU95bIcRHemql7hurPc,Kaffe Landskap,39.7541217,-105.0009332,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.6,186,NA
ChIJ1ehL6tZ4bIcR8WyKkLSsMEQ,Novo Coffee,39.7441774,-104.9897765,Social Business,cafe,cafe; bar; food; point_of_interest; store; establishment,OPERATIONAL,4.5,702,NA
ChIJ1fTdi3N9bIcROO67xcRWNVE,Hour of Hope Christian Center,39.6874262,-104.886055,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ1QdOGHSHbIcRZfwsVX7JqJ0,Brookdale Tamarac Square,39.6537563,-104.8966628,Park,square,health; point_of_interest; establishment,OPERATIONAL,4,8,NA
ChIJ1QrHUH2BbIcRMZADb3mJZuU,Toasty Goodness,39.6238809,-105.0156733,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ1UCdSBd7bIcRGCHKQO2Fd9g,Prairie Meadows Park,39.792371,-104.890919,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.8,21,NA
ChIJ1VdtvDOGa4cRbwBygCax64s,Garden Center at The Home Depot,39.7917391,-105.0827785,Park,garden,furniture_store; home_goods_store; general_contractor; point_of_interest; store; establishment,OPERATIONAL,4.5,19,NA
